student_id,origin_country,destination_country,university_name,course_name,field_of_study,year_of_enrollment,scholarship_received,enrollment_reason,graduation_year,placement_status,placement_country,placement_company,starting_salary_usd,gpa_or_score,visa_status,post_graduation_visa,language_proficiency_test,test_score
S01435,Canada,USA,NYU,Psychology,Social Sciences,2019,Yes,Political Stability,2021,Placed,USA,Google,119896,2.57,Tier 4,Work Permit,IELTS,6.1
S01436,Ireland,Russia,Bauman Moscow State Technical University,Medicine,Business,2023,No,Quality of Life,2026,Placed,Russia,IBM,80654,3.01,Student Visa,Work Permit,Duolingo,7.3
S01437,India,USA,UC Berkeley,Medicine,Natural Sciences,2022,Yes,Scholarship,2025,Placed,USA,SAP,85284,2.52,J1,Work Permit,TOEFL,8.1
S01438,UAE,UK,University of Oxford,Design,Natural Sciences,2021,Yes,Higher Ranking,2024,Placed,UK,Apple,118441,3.78,Tier 4,Work Permit,TOEFL,6.9
S01439,Germany,UAE,Middlesex University Dubai,Electrical Engineering,Business,2019,No,Political Stability,2022,Not Placed,,,0,2.76,Student Visa,Post-Study Visa,,0
S01440,UAE,Canada,Queen's University,Business Administration,Social Sciences,2022,No,Job Opportunities,2025,Placed,Canada,Siemens,113881,2.85,Tier 4,Blue Card,IELTS,5.1
S01441,Russia,Finland,Ã…bo Akademi University,Architecture,Social Sciences,2022,Yes,Higher Ranking,2024,Placed,Finland,Google,78765,3.82,Schengen Student Visa,Post-Study Visa,,0
S01442,South Africa,USA,Columbia University,Design,Natural Sciences,2020,Yes,Job Opportunities,2021,Placed,USA,Intel,142022,3.97,Study Permit,Blue Card,IELTS,7.8
S01443,South Africa,UAE,Khalifa University,Business Administration,Engineering,2022,No,Political Stability,2025,Placed,UAE,SAP,92481,2.59,Tier 4,OPT,Duolingo,8.1
S01444,USA,Russia,Kazan Federal University,Architecture,Engineering,2021,No,Scholarship,2024,Placed,Russia,Facebook,74282,2.51,Schengen Student Visa,Work Permit,Duolingo,6.4
S01445,South Africa,Russia,Kazan Federal University,Civil Engineering,Medicine,2022,Yes,Scholarship,2025,Not Placed,,,0,2.69,Tier 4,Post-Study Visa,,0
S01446,UK,India,JNU Delhi,Law,Arts,2023,Yes,Quality of Life,2026,Not Placed,,,0,2.66,Study Permit,PSW,,0
S01447,Germany,Canada,University of British Columbia,Political Science,Business,2019,Yes,Scholarship,2022,Not Placed,,,0,2.9,Tier 4,Blue Card,TOEFL,5.8
S01448,USA,India,IIT Madras,Medicine,Natural Sciences,2022,Yes,Political Stability,2025,Placed,India,Microsoft,123994,3.55,Tier 4,Blue Card,IELTS,7.4
S01449,Russia,South Africa,University of Cape Town,Medicine,Engineering,2020,No,Scholarship,2022,Placed,South Africa,Goldman Sachs,148005,3.61,Schengen Student Visa,Post-Study Visa,,0
S01450,Germany,UAE,Heriot-Watt Dubai,Law,Computer Science,2020,No,Political Stability,2022,Placed,UAE,IBM,56099,3.21,Study Permit,Blue Card,Duolingo,5.7
S01451,UAE,India,IIT Madras,Mechanical Engineering,Natural Sciences,2023,No,Job Opportunities,2026,Placed,India,Siemens,51305,2.51,Study Permit,Blue Card,PTE,5
S01452,UAE,Canada,University of Alberta,Law,Computer Science,2022,No,Quality of Life,2025,Not Placed,,,0,3.87,Student Visa,PSW,Duolingo,6.4
S01453,South Africa,UAE,Khalifa University,Data Science,Natural Sciences,2020,No,Higher Ranking,2023,Not Placed,,,0,2.66,J1,Post-Study Visa,,0
S01454,USA,South Africa,University of Cape Town,Law,Medicine,2022,Yes,Job Opportunities,2025,Placed,South Africa,SAP,106076,2.72,J1,OPT,TOEFL,5.1
S01455,Russia,Ireland,Trinity College Dublin,Political Science,Natural Sciences,2021,Yes,Higher Ranking,2024,Placed,Ireland,Facebook,36897,3.92,Tier 4,OPT,,0
S01456,USA,Germany,RWTH Aachen,Data Science,Arts,2022,Yes,Political Stability,2025,Not Placed,,,0,2.63,J1,Blue Card,,0
S01457,South Africa,Germany,Heidelberg University,Law,Law,2023,No,Quality of Life,2025,Not Placed,,,0,3.43,F1,PSW,Duolingo,6
S01458,UK,UAE,Heriot-Watt Dubai,Political Science,Medicine,2019,Yes,Scholarship,2022,Placed,UAE,Facebook,55643,2.95,Study Permit,PSW,IELTS,5.3
S01459,Canada,Germany,Heidelberg University,Psychology,Computer Science,2021,Yes,Higher Ranking,2023,Not Placed,,,0,3.27,Tier 4,Work Permit,IELTS,6.3
S01460,Russia,Finland,Aalto University,Economics,Natural Sciences,2020,No,Job Opportunities,2023,Not Placed,,,0,2.51,Study Permit,Work Permit,IELTS,7.3
S01461,Germany,UAE,American University of Sharjah,Data Science,Business,2019,No,Higher Ranking,2020,Placed,UAE,Google,148836,3.4,Schengen Student Visa,OPT,,0
S01462,UK,USA,University of Chicago,Data Science,Law,2023,Yes,Quality of Life,2025,Placed,USA,Intel,136900,2.63,Student Visa,OPT,TOEFL,5.3
S01463,Finland,South Africa,University of Johannesburg,Computer Science,Law,2020,Yes,Quality of Life,2022,Not Placed,,,0,3.07,Tier 4,Work Permit,TOEFL,8.1
S01464,USA,Germany,TU Berlin,Data Science,Law,2019,No,Political Stability,2020,Placed,Germany,Google,104879,2.91,F1,PSW,,0
S01465,Canada,UAE,University of Dubai,Business Administration,Social Sciences,2022,Yes,Political Stability,2023,Not Placed,,,0,3.56,Student Visa,Blue Card,Duolingo,6
S01466,Canada,Ireland,University College Dublin,Architecture,Law,2021,Yes,Higher Ranking,2022,Placed,Ireland,McKinsey,90084,3.66,J1,Work Permit,PTE,6.5
S01467,Canada,USA,University of Chicago,Biotechnology,Computer Science,2019,Yes,Scholarship,2020,Placed,USA,Microsoft,114434,3.73,Student Visa,Work Permit,Duolingo,8
S01468,Canada,Ireland,National University of Ireland Galway,Finance,Engineering,2023,Yes,Political Stability,2025,Placed,Ireland,Apple,110192,2.88,F1,PSW,Duolingo,8.7
S01469,UAE,South Africa,University of Cape Town,Economics,Social Sciences,2022,Yes,Quality of Life,2023,Placed,South Africa,Deloitte,93461,3.55,F1,Blue Card,TOEFL,7.6
S01470,UAE,USA,Harvard University,Biotechnology,Business,2022,Yes,Scholarship,2023,Not Placed,,,0,3.26,Student Visa,Work Permit,TOEFL,7.2
S01471,Germany,UAE,Manipal Academy Dubai,Computer Science,Business,2019,No,Job Opportunities,2022,Not Placed,,,0,2.85,Schengen Student Visa,Work Permit,,0
S01472,Canada,India,BITS Pilani,Biotechnology,Natural Sciences,2020,Yes,Higher Ranking,2023,Placed,India,Microsoft,38461,2.62,J1,Work Permit,TOEFL,8
S01473,Finland,Ireland,University College Dublin,Civil Engineering,Computer Science,2023,Yes,Political Stability,2025,Not Placed,,,0,3.99,J1,OPT,TOEFL,8.7
S01474,UK,Germany,Humboldt University,Economics,Engineering,2022,No,Political Stability,2025,Placed,Germany,Goldman Sachs,57431,3.77,Schengen Student Visa,Work Permit,,0
S01475,UAE,Canada,University of Toronto,Business Administration,Social Sciences,2019,No,Political Stability,2021,Not Placed,,,0,2.73,F1,Blue Card,IELTS,5.7
S01476,USA,Germany,Heidelberg University,Biotechnology,Social Sciences,2022,No,Higher Ranking,2023,Not Placed,,,0,2.72,Tier 4,Work Permit,TOEFL,8.5
S01477,South Africa,India,IIT Madras,Architecture,Natural Sciences,2022,No,Political Stability,2024,Not Placed,,,0,3.2,Study Permit,OPT,Duolingo,8.2
S01478,Germany,Ireland,Dublin City University,Data Science,Social Sciences,2021,Yes,Quality of Life,2023,Not Placed,,,0,2.76,F1,Blue Card,IELTS,5.7
S01479,Ireland,Canada,McGill University,Finance,Business,2019,Yes,Higher Ranking,2021,Placed,Canada,Intel,69688,3.32,Schengen Student Visa,Post-Study Visa,TOEFL,5.9
S01480,UAE,Russia,Bauman Moscow State Technical University,Electrical Engineering,Law,2022,Yes,Higher Ranking,2023,Placed,Russia,Amazon,35290,2.82,Student Visa,Blue Card,TOEFL,7.2
S01481,Germany,India,JNU Delhi,Mechanical Engineering,Law,2022,Yes,Quality of Life,2023,Not Placed,,,0,2.67,Tier 4,Work Permit,IELTS,7.3
S01482,Ireland,USA,UCLA,Design,Arts,2023,Yes,Job Opportunities,2025,Not Placed,,,0,3.53,Schengen Student Visa,Blue Card,IELTS,5.7
S01483,Finland,UAE,Zayed University,Architecture,Arts,2021,No,Higher Ranking,2023,Placed,UAE,Goldman Sachs,98605,3.84,Student Visa,PSW,,0
S01484,USA,UAE,Heriot-Watt Dubai,Political Science,Engineering,2019,No,Job Opportunities,2021,Not Placed,,,0,3.64,J1,Work Permit,PTE,6.5
S01485,Finland,India,Delhi University,Law,Engineering,2023,No,Job Opportunities,2026,Not Placed,,,0,2.57,J1,Work Permit,PTE,5.5
S01486,Finland,Canada,McGill University,Finance,Natural Sciences,2020,Yes,Higher Ranking,2023,Placed,Canada,Facebook,138289,3.51,Student Visa,PSW,PTE,5.4
S01487,Finland,Russia,Higher School of Economics,Computer Science,Computer Science,2020,Yes,Political Stability,2021,Placed,Russia,Tesla,51734,3.74,Tier 4,Post-Study Visa,TOEFL,8.5
S01488,Finland,India,NIT Trichy,Business Administration,Law,2020,Yes,Quality of Life,2022,Placed,India,Google,144671,3.65,Schengen Student Visa,OPT,PTE,6.2
S01489,India,South Africa,University of Johannesburg,Civil Engineering,Engineering,2023,No,Job Opportunities,2025,Not Placed,,,0,2.61,Tier 4,Post-Study Visa,PTE,6.1
S01490,UK,Ireland,Trinity College Dublin,Political Science,Medicine,2020,Yes,Scholarship,2021,Not Placed,,,0,3.85,Study Permit,Post-Study Visa,Duolingo,8.4
S01491,UAE,Germany,RWTH Aachen,Mechanical Engineering,Medicine,2020,No,Quality of Life,2021,Not Placed,,,0,3.65,Schengen Student Visa,Blue Card,,0
S01492,Ireland,USA,NYU,Civil Engineering,Computer Science,2021,Yes,Higher Ranking,2024,Placed,USA,Apple,37081,3.65,Tier 4,OPT,,0
S01493,USA,India,NIT Trichy,Mechanical Engineering,Business,2020,Yes,Higher Ranking,2021,Placed,India,Deloitte,81750,2.82,Student Visa,Blue Card,,0
S01494,UK,UAE,Khalifa University,Data Science,Engineering,2019,No,Quality of Life,2021,Not Placed,,,0,4,F1,PSW,PTE,7.4
S01495,UAE,USA,UC Berkeley,Computer Science,Law,2022,Yes,Scholarship,2023,Not Placed,,,0,3.82,F1,Work Permit,TOEFL,7.9
S01496,South Africa,Russia,Novosibirsk State University,Architecture,Business,2023,Yes,Higher Ranking,2026,Not Placed,,,0,2.95,Schengen Student Visa,Work Permit,IELTS,7.5
S01497,USA,UK,University of Oxford,Law,Social Sciences,2022,Yes,Job Opportunities,2024,Placed,UK,Apple,112007,2.65,Schengen Student Visa,OPT,,0
S01498,Canada,Ireland,Trinity College Dublin,Civil Engineering,Computer Science,2019,No,Political Stability,2022,Not Placed,,,0,4,Schengen Student Visa,Post-Study Visa,IELTS,5.7
S01499,USA,Canada,Simon Fraser University,Electrical Engineering,Law,2021,Yes,Quality of Life,2022,Placed,Canada,Microsoft,83216,3.33,Schengen Student Visa,Blue Card,TOEFL,8.8
S01500,UK,USA,NYU,Law,Computer Science,2021,Yes,Scholarship,2024,Not Placed,,,0,2.71,Student Visa,Post-Study Visa,Duolingo,8.1
S01501,India,Germany,LMU Munich,Psychology,Law,2019,Yes,Political Stability,2020,Not Placed,,,0,2.87,Schengen Student Visa,Work Permit,Duolingo,5.8
S01502,Ireland,South Africa,University of Johannesburg,Psychology,Social Sciences,2021,Yes,Quality of Life,2022,Not Placed,,,0,3.34,Student Visa,Post-Study Visa,Duolingo,6.5
S01503,Germany,India,IIT Delhi,Biotechnology,Arts,2020,Yes,Quality of Life,2021,Not Placed,,,0,3.61,Schengen Student Visa,PSW,PTE,7
S01504,Russia,Germany,TU Berlin,Computer Science,Law,2023,No,Job Opportunities,2026,Not Placed,,,0,2.94,Schengen Student Visa,PSW,,0
S01505,South Africa,Russia,Lomonosov Moscow State University,Mechanical Engineering,Law,2022,Yes,Higher Ranking,2025,Placed,Russia,Siemens,53332,3.6,Study Permit,Work Permit,PTE,5.9
S01506,USA,UAE,Khalifa University,Design,Natural Sciences,2019,Yes,Political Stability,2020,Not Placed,,,0,3.16,F1,PSW,TOEFL,6.3
S01507,Germany,Russia,Bauman Moscow State Technical University,Medicine,Law,2023,No,Higher Ranking,2026,Placed,Russia,Tesla,79522,3.05,J1,PSW,,0
S01508,Canada,Russia,Lomonosov Moscow State University,Electrical Engineering,Natural Sciences,2022,No,Higher Ranking,2024,Not Placed,,,0,3.93,J1,Work Permit,IELTS,7.7
S01509,Germany,Ireland,Technological University Dublin,Architecture,Business,2019,No,Scholarship,2021,Placed,Ireland,Intel,136825,3.34,Student Visa,Work Permit,Duolingo,8.8
S01510,UAE,India,IIT Madras,Data Science,Natural Sciences,2019,No,Quality of Life,2022,Placed,India,Tesla,53384,3.53,J1,Post-Study Visa,PTE,8.1
S01511,Finland,Ireland,Maynooth University,Design,Law,2022,No,Quality of Life,2024,Not Placed,,,0,2.75,Schengen Student Visa,Work Permit,PTE,5.4
S01512,India,UAE,Zayed University,Computer Science,Engineering,2021,Yes,Quality of Life,2022,Not Placed,,,0,3.86,Study Permit,Post-Study Visa,IELTS,7.1
S01513,Ireland,Germany,Heidelberg University,Computer Science,Arts,2023,Yes,Political Stability,2025,Not Placed,,,0,3.26,Tier 4,OPT,,0
S01514,Canada,USA,UC Berkeley,Civil Engineering,Social Sciences,2019,No,Job Opportunities,2022,Placed,USA,Google,146115,3.24,Schengen Student Visa,OPT,IELTS,9
S01515,Russia,Ireland,National University of Ireland Galway,Business Administration,Business,2020,No,Higher Ranking,2022,Not Placed,,,0,3.07,Study Permit,Blue Card,,0
S01516,Ireland,South Africa,University of KwaZulu-Natal,Finance,Engineering,2023,Yes,Quality of Life,2026,Placed,South Africa,Apple,121542,3.6,J1,PSW,Duolingo,8.4
S01517,South Africa,Ireland,Trinity College Dublin,Computer Science,Law,2019,Yes,Scholarship,2022,Placed,Ireland,Microsoft,54010,3.44,Study Permit,OPT,Duolingo,5.4
S01518,South Africa,Ireland,Trinity College Dubein,Computer Science,Law,2019,Yes,,2022,Placedd,Ireland,,54010,3.44,Study Permit,OPT,Duolingo,
S01519,Finland,South Africa,University of KwaZulu-Natal,Economics,Arts,2020,No,Political Stability,2023,Placed,South Africa,Microsoft,113753,3.31,Schengen Student Visa,Work Permit,PTE,6.9
S01520,UK,USA,Stanford University,Psychology,Engineering,2019,Yes,Higher Ranking,2020,Placed,USA,Goldman Sachs,57154,2.92,Schengen Student Visa,OPT,,0
S01521,Canada,Germany,Heidelberg University,Business Administration,Engineering,2019,No,Job Opportunities,2021,Not Placed,,,0,3.42,Tier 4,Work Permit,Duolingo,5
S01522,Russia,USA,Columbia University,Medicine,Natural Sciences,2019,No,Job Opportunities,2022,Not Placed,,,0,3.8,Schengen Student Visa,Blue Card,TOEFL,8.2
S01523,India,Ireland,Trinity College Dublin,Economics,Computer Science,2021,Yes,Scholarship,2023,Placed,Ireland,Microsoft,141900,3.01,F1,OPT,IELTS,6.9
S01524,Russia,UK,University of Oxford,Law,Engineering,2023,Yes,Political Stability,2026,Not Placed,,,0,2.97,Schengen Student Visa,PSW,Duolingo,5.8
S01525,USA,South Africa,University of Johannesburg,Architecture,Computer Science,2019,Yes,Quality of Life,2021,Not Placed,,,0,3.13,Study Permit,PSW,TOEFL,7.4
S01526,Russia,Germany,University of Stuttgart,Biotechnology,Natural Sciences,2023,Yes,Job Opportunities,2026,Not Placed,,,0,2.87,Schengen Student Visa,Work Permit,PTE,6.6
S01527,Ireland,Canada,McGill University,Business Administration,Social Sciences,2021,Yes,Job Opportunities,2022,Placed,Canada,Google,136127,3.85,Student Visa,OPT,IELTS,7.2
S01528,Russia,USA,Stanford University,Civil Engineering,Medicine,2023,No,Job Opportunities,2025,Placed,USA,Tesla,90341,3.37,Tier 4,Post-Study Visa,IELTS,7.6
S01529,UK,Ireland,Maynooth University,Law,Business,2022,Yes,Quality of Life,2023,Not Placed,,,0,3.6,Student Visa,PSW,PTE,7.5
S01530,USA,Russia,Bauman Moscow State Technical University,Electrical Engineering,Arts,2023,Yes,Higher Ranking,2025,Not Placed,,,0,2.94,J1,PSW,PTE,5.8
S01531,Canada,Russia,Moscow Institute of Physics and Technology,Law,Computer Science,2022,No,Job Opportunities,2024,Placed,Russia,Microsoft,33392,3.57,Student Visa,OPT,IELTS,6.7
S01532,Ireland,UAE,Khalifa University,Data Science,Law,2019,No,Political Stability,2021,Not Placed,,,0,3.26,J1,PSW,TOEFL,6.3
S01533,Ireland,UK,University of Edinburgh,Data Science,Law,2019,No,Job Opportunities,2021,Placed,UK,Apple,84385,4,Study Permit,PSW,TOEFL,6.3
S01534,Finland,Russia,Novosibirsk State University,Psychology,Computer Science,2021,Yes,Higher Ranking,2023,Not Placed,,,0,2.56,J1,OPT,Duolingo,6.2
S01535,Canada,UAE,Manipal Academy Dubai,Business Administration,Natural Sciences,2019,Yes,Quality of Life,2020,Not Placed,,,0,2.52,Schengen Student Visa,Blue Card,PTE,8
S01536,South Africa,India,BITS Pilani,Computer Science,Law,2021,Yes,Scholarship,2023,Not Placed,,,0,2.51,Schengen Student Visa,PSW,IELTS,8.7
S01537,UK,Canada,University of Toronto,Design,Arts,2022,Yes,Job Opportunities,2024,Placed,Canada,Google,148118,3.29,F1,Post-Study Visa,Duolingo,8.1
S01538,India,Finland,Ã…bo Akademi University,Law,Law,2023,No,Job Opportunities,2026,Not Placed,,,0,3.32,Student Visa,PSW,,0
S01539,Germany,India,Delhi University,Political Science,Medicine,2019,No,Job Opportunities,2022,Placed,India,IBM,119743,3.39,Schengen Student Visa,PSW,TOEFL,5.3
S01540,Germany,Finland,LUT University,Design,Arts,2023,Yes,Political Stability,2025,Placed,Finland,IBM,146523,3.69,Study Permit,Work Permit,Duolingo,5.8
S01541,USA,Canada,McGill University,Data Science,Computer Science,2022,No,Higher Ranking,2024,Placed,Canada,Facebook,58669,3.18,Schengen Student Visa,Post-Study Visa,Duolingo,7.4
S01542,South Africa,UK,University of Edinburgh,Economics,Arts,2020,Yes,Political Stability,2023,Not Placed,,,0,3.24,Study Permit,OPT,,0
S01543,Germany,UK,University of Cambridge,Finance,Social Sciences,2020,No,Job Opportunities,2022,Not Placed,,,0,3.6,J1,Work Permit,PTE,6.1
S01544,Germany,South Africa,Stellenbosch University,Data Science,Natural Sciences,2023,Yes,Higher Ranking,2025,Placed,South Africa,Microsoft,53283,3.88,Tier 4,Post-Study Visa,TOEFL,8.1
S01545,Russia,South Africa,University of the Witwatersrand,Economics,Business,2022,No,Quality of Life,2025,Placed,South Africa,Facebook,46942,2.7,J1,Post-Study Visa,PTE,5.7
S01546,UK,Russia,Moscow Institute of Physics and Technology,Civil Engineering,Business,2022,No,Quality of Life,2023,Not Placed,,,0,3.46,Tier 4,Blue Card,,0
S01547,Finland,India,NIT Trichy,Mechanical Engineering,Arts,2021,No,Political Stability,2023,Not Placed,,,0,2.76,Student Visa,Work Permit,Duolingo,8.8
S01548,USA,Russia,Lomonosov Moscow State University,Business Administration,Medicine,2019,Yes,Job Opportunities,2020,Placed,Russia,Deloitte,107944,3.37,Study Permit,PSW,IELTS,5.5
S01549,India,Russia,Lomonosov Moscow State University,Computer Science,Business,2023,Yes,Political Stability,2025,Placed,Russia,Siemens,145455,3,F1,Post-Study Visa,,0
S01550,Finland,Canada,Simon Fraser University,Design,Engineering,2019,Yes,Higher Ranking,2021,Not Placed,,,0,3.76,Tier 4,Work Permit,TOEFL,7.8
S01551,India,UK,UCL,Economics,Natural Sciences,2021,Yes,Political Stability,2024,Placed,UK,IBM,75713,3.38,J1,OPT,PTE,5.2
S01552,South Africa,UAE,Heriot-Watt Dubai,Electrical Engineering,Medicine,2022,Yes,Scholarship,2024,Not Placed,,,0,2.89,Student Visa,Blue Card,,0
S01553,Finland,Canada,University of Toronto,Electrical Engineering,Natural Sciences,2022,Yes,Political Stability,2023,Not Placed,,,0,2.97,F1,Post-Study Visa,PTE,5.7
S01554,South Africa,Canada,University of British Columbia,Biotechnology,Engineering,2023,No,Higher Ranking,2026,Placed,Canada,Deloitte,91709,3.6,Schengen Student Visa,OPT,Duolingo,6
S01555,Canada,Germany,RWTH Aachen,Law,Law,2019,Yes,Job Opportunities,2020,Placed,Germany,Goldman Sachs,106485,3.92,J1,Blue Card,TOEFL,8.5
S01556,UAE,India,JNU Delhi,Biotechnology,Medicine,2019,Yes,Higher Ranking,2021,Not Placed,,,0,3.68,J1,Post-Study Visa,TOEFL,7.1
S01557,India,UAE,Khalifa University,Architecture,Arts,2023,No,Quality of Life,2026,Placed,UAE,Tesla,61901,3.89,Schengen Student Visa,Work Permit,,0
S01558,USA,Ireland,Dublin City University,Psychology,Arts,2023,Yes,Scholarship,2026,Not Placed,,,0,2.96,Tier 4,OPT,PTE,5.7
S01559,Ireland,India,BITS Pilani,Civil Engineering,Medicine,2020,No,Higher Ranking,2022,Not Placed,,,0,3.32,J1,Post-Study Visa,TOEFL,6.8
S01560,USA,UK,University of Manchester,Data Science,Arts,2022,Yes,Job Opportunities,2023,Not Placed,,,0,3.11,Schengen Student Visa,PSW,Duolingo,7.1
S01561,Canada,India,BITS Pilani,Medicine,Social Sciences,2019,No,Quality of Life,2020,Placed,India,SAP,30885,3.15,Schengen Student Visa,Blue Card,TOEFL,6.3
S01562,USA,Ireland,Maynooth University,Political Science,Arts,2023,No,Quality of Life,2024,Placed,Ireland,Amazon,70800,3.26,Student Visa,PSW,IELTS,7.8
S01563,Russia,UAE,Manipal Academy Dubai,Civil Engineering,Computer Science,2023,Yes,Job Opportunities,2026,Not Placed,,,0,3.27,Student Visa,Blue Card,TOEFL,7.9
S01564,Canada,Finland,Tampere University,Data Science,Arts,2022,Yes,Higher Ranking,2023,Placed,Finland,Amazon,144042,3.57,F1,Post-Study Visa,TOEFL,5.9
S01565,Germany,UAE,Heriot-Watt Dubai,Electrical Engineering,Medicine,2023,Yes,Job Opportunities,2024,Placed,UAE,McKinsey,115181,3.7,F1,Blue Card,,0
S01566,Canada,India,BITS Pilani,Political Science,Engineering,2019,No,Scholarship,2021,Not Placed,,,0,3.2,Schengen Student Visa,OPT,,0
S01567,Finland,UAE,Zayed University,Finance,Business,2019,Yes,Job Opportunities,2021,Not Placed,,,0,3.21,F1,OPT,,0
S01568,USA,UK,UCL,Biotechnology,Law,2019,Yes,Job Opportunities,2022,Placed,UK,IBM,123436,3.45,Study Permit,OPT,Duolingo,6.9
S01569,India,South Africa,University of the Witwatersrand,Data Science,Computer Science,2020,Yes,Job Opportunities,2023,Placed,South Africa,Microsoft,46142,3.32,Tier 4,OPT,TOEFL,8.8
S01570,Germany,Ireland,Dublin City University,Finance,Engineering,2023,Yes,Quality of Life,2026,Placed,Ireland,SAP,49872,2.93,Tier 4,OPT,TOEFL,8.5
S01571,UAE,South Africa,University of Johannesburg,Data Science,Social Sciences,2021,No,Job Opportunities,2022,Placed,South Africa,Amazon,121726,2.69,Tier 4,PSW,IELTS,5.9
S01572,Ireland,USA,Stanford University,Law,Social Sciences,2020,No,Quality of Life,2021,Placed,USA,Tesla,56976,3.16,F1,Work Permit,TOEFL,6.9
S01573,Germany,UAE,American University of Sharjah,Law,Arts,2022,Yes,Political Stability,2024,Not Placed,,,0,3.09,J1,OPT,IELTS,8
S01574,Canada,South Africa,University of Cape Town,Data Science,Medicine,2023,No,Political Stability,2024,Not Placed,,,0,3.94,Schengen Student Visa,Work Permit,,0
S01575,Russia,Canada,University of British Columbia,Biotechnology,Engineering,2022,Yes,Higher Ranking,2024,Placed,Canada,Goldman Sachs,53604,3.69,F1,Post-Study Visa,Duolingo,8
S01576,Ireland,UAE,Middlesex University Dubai,Business Administration,Computer Science,2022,Yes,Quality of Life,2023,Placed,UAE,Tesla,42788,3.79,F1,Work Permit,Duolingo,7.4
S01577,Ireland,India,Delhi University,Medicine,Business,2022,Yes,Political Stability,2023,Not Placed,,,0,2.52,Student Visa,PSW,TOEFL,6.2
S01578,USA,Finland,University of Eastern Finland,Computer Science,Law,2020,Yes,Political Stability,2023,Not Placed,,,0,2.73,Schengen Student Visa,Post-Study Visa,IELTS,6.5
S01579,Canada,Russia,Higher School of Economics,Civil Engineering,Law,2022,Yes,Job Opportunities,2024,Placed,Russia,Siemens,44624,3.35,Tier 4,Work Permit,TOEFL,7.7
S01580,South Africa,Germany,Humboldt University,Civil Engineering,Natural Sciences,2019,No,Quality of Life,2021,Placed,Germany,McKinsey,136447,2.89,Student Visa,OPT,PTE,7.9
S01581,Russia,UAE,Heriot-Watt Dubai,Law,Social Sciences,2020,No,Quality of Life,2022,Placed,UAE,Siemens,94350,2.86,Tier 4,Blue Card,TOEFL,7.7
S01582,India,Russia,Novosibirsk State University,Architecture,Business,2019,Yes,Political Stability,2021,Not Placed,,,0,3.55,Student Visa,Blue Card,Duolingo,6.5
S01583,UK,UAE,Heriot-Watt Dubai,Psychology,Law,2020,Yes,Political Stability,2023,Not Placed,,,0,3.08,J1,Work Permit,IELTS,6.2
S01584,Ireland,Russia,Moscow Institute of Physics and Technology,Design,Computer Science,2020,Yes,Scholarship,2023,Placed,Russia,McKinsey,138791,2.73,Study Permit,Post-Study Visa,,0
S01585,Canada,India,IIT Delhi,Civil Engineering,Medicine,2022,Yes,Scholarship,2023,Not Placed,,,0,3.95,Schengen Student Visa,Post-Study Visa,,0
S01586,UAE,India,IISc Bangalore,Architecture,Business,2019,No,Quality of Life,2020,Placed,India,Tesla,49129,3.29,J1,Work Permit,Duolingo,6.9
S01587,UK,USA,UC Berkeley,Design,Social Sciences,2023,Yes,Higher Ranking,2026,Not Placed,,,0,3.96,Study Permit,Blue Card,Duolingo,6.8
S01588,Russia,USA,Harvard University,Law,Medicine,2022,No,Scholarship,2025,Not Placed,,,0,2.56,F1,Blue Card,IELTS,6
S01589,UAE,India,IIT Delhi,Medicine,Natural Sciences,2021,No,Higher Ranking,2023,Not Placed,,,0,3.19,Schengen Student Visa,PSW,Duolingo,6.4
S01590,India,UK,University of Edinburgh,Mechanical Engineering,Business,2023,Yes,Higher Ranking,2024,Placed,UK,Tesla,59024,3.94,J1,OPT,TOEFL,5.6
S01591,Ireland,UAE,Heriot-Watt Dubai,Design,Social Sciences,2019,No,Job Opportunities,2021,Not Placed,,,0,3.9,Tier 4,PSW,TOEFL,7.9
S01592,Germany,UAE,Zayed University,Civil Engineering,Law,2020,Yes,Scholarship,2021,Placed,UAE,Intel,122183,3.6,F1,OPT,IELTS,8.5
S01593,USA,Germany,TU Berlin,Business Administration,Social Sciences,2019,Yes,Political Stability,2021,Placed,Germany,Deloitte,135072,3.6,Student Visa,Blue Card,IELTS,7.2
S01594,Ireland,South Africa,University of Pretoria,Mechanical Engineering,Computer Science,2021,Yes,Scholarship,2023,Placed,South Africa,IBM,64137,2.55,J1,Work Permit,Duolingo,8.3
S01595,USA,Ireland,Technological University Dublin,Finance,Medicine,2023,No,Job Opportunities,2025,Not Placed,,,0,3.4,Schengen Student Visa,Post-Study Visa,TOEFL,5.4
S01596,South Africa,Canada,University of Ottawa,Civil Engineering,Law,2023,No,Job Opportunities,2025,Placed,Canada,Goldman Sachs,69529,3.42,Tier 4,Blue Card,,0
S01597,Russia,India,IIT Madras,Political Science,Medicine,2023,Yes,Scholarship,2024,Not Placed,,,0,3.19,Study Permit,Post-Study Visa,TOEFL,5.4
S01598,South Africa,UK,University of Cambridge,Political Science,Law,2020,No,Job Opportunities,2023,Not Placed,,,0,3.45,F1,Blue Card,Duolingo,8.3
S01599,India,UK,University of Manchester,Medicine,Natural Sciences,2023,No,Job Opportunities,2024,Not Placed,,,0,3.95,Schengen Student Visa,Blue Card,PTE,8.5
S01600,Russia,Canada,University of British Columbia,Medicine,Natural Sciences,2022,Yes,Political Stability,2023,Not Placed,,,0,3.87,F1,Blue Card,Duolingo,8.3
